epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,991.864,0.91343,0.4649,0.85491,0.95138,0.74868,0.78947,0.49948,0.88109,0.45609,0.84815,0.000594286,0.000594286,0.000594286
15,1887.23,0.89504,0.44742,0.84818,0.91924,0.74911,0.77801,0.48928,0.86851,0.44538,0.84576,0.000511769,0.000511769,0.000511769
16,2899.16,0.89754,0.44216,0.8465,0.88103,0.76999,0.76909,0.50676,0.8642,0.44264,0.84237,0.000429253,0.000429253,0.000429253
17,4694.58,0.89087,0.4388,0.84314,0.90562,0.7682,0.7782,0.51169,0.85835,0.43598,0.84107,0.000346736,0.000346736,0.000346736
18,5839.02,0.88169,0.43054,0.84187,0.87181,0.76655,0.78342,0.51221,0.85582,0.43062,0.84144,0.00026422,0.00026422,0.00026422
19,6922.08,0.87352,0.42599,0.84213,0.93643,0.75031,0.78781,0.51808,0.84772,0.4254,0.84061,0.000181703,0.000181703,0.000181703
20,8071.99,0.86689,0.4234,0.83573,0.88842,0.78004,0.78757,0.5178,0.84254,0.41974,0.83934,9.91865e-05,9.91865e-05,9.91865e-05
